ranking,album,year,ranking,genre,sex,region
1,Kendrick Lamar - To Pimp a Butterfly,2015,10/10,Hip-hop,Male,North America
2,Swans - To Be Kind,2014,10/10,Rock,Male,North America
3,Death Grips - The Money Store,2012,10/10,Hip-hop,Male,North America
4,Daughters - You Won't Get What You Want,2018,10/10,Hardcore,Male,North America
5,LCD Soundsystem - This Is Happening,2010,9/10,Rock,Male,North America
6,Charli XCX - Charli,2019,9/10,Pop,Female,Europe
7,KIDS SEE GHOSTS - KIDS SEE GHOSTS,2018,10/10,Hip-hop,Male,North America
8,Fleet Foxes - Helplessness Blues,2011,9/10,Folk,Male,North America
9,Tim Hecker - Virgins,2013,9/10,Ambient,Male,North America
10,Danny Brown - Atrocity Exhibition,2016,9/10,Hip-hop,Male,North America
11,Father John Misty - Pure Comedy,2017,9/10,Folk,Male,North America
12,David Bowie - Blackstar,2016,9/10,Rock,Male,Europe
13,Gorillaz - Plastic Beach,2010,7/10,Pop,Male,Europe
14,Kamasi Washington - The Epic,2015,9/10,Jazz,Male,North America
15,Ondatropica - Ondatropica,2012,9/10,Folk,Female,South America
16,Joanna Newsom - Have One On Me,2010,?/10,Folk,Female,North America
17,Sun Kil Moon - Benji,2014,9/10,Folk,Male,North America
18,Mount Eerie - A Crow Looked At Me,2017,9/10,Folk,Male,North America
19,PJ Harvey - Let England Shake,2011,8/10,Rock,Female,Europe
20,"Tyler, the Creator - IGOR",2019,9/10,Soul,Male,North America
21,Brockhampton - Saturation Trilogy,2017,9/10,Hip-hop,Male,North America
22,Richard Dawson - 2020,2019,9/10,Rock,Male,Europe
23,The Books - The Way Out,2010,9/10,Electronic,Male,North America
24,Natalia Lafourcade - Musas Vol. 2,2018,8/10,Folk,Female,North America
25,Lingua Ignota - Calligula,2019,9/10,Experimental,Female,North America
26,Women - Public Strain,2010,9/10,Rock,Male,North America
27,Behemoth - The Satanist,2014,9/10,Metal,Male,Europe
28,Ariel Pink - Pom Pom,2014,9/10,Pop,Non-binary,North America
29,Big KRIT - 4eva is a Mighty Long Time,2017,9/10,Hip-hop,Male,North America
30,JPEGMAFIA - Veteran,2018,8/10,Hip-hop,Male,North America
31,Shabazz Palaces - Black Up,2011,8/10,Hip-hop,Male,North America
32,La Dispute - Wildlife,2011,8/10,Hardcore,Male,North America
33,Xiu Xiu - Girl With Basket Of Fruit,2019,9/10,Experimental,Male,North America
34,Julia Holter - Have You In My Wilderness,2015,9/10,Pop,Female,North America
35,Nails - Unsilent Death,2010,9/10,Hardcore,Male,North America
36,Flying Lotus - Cosmogramma,2010,8/10,Electronic,Male,North America
37,Liturgy - HAQQ,2019,9/10,Metal,Male,North America
38,Agalloch - Marrow Of The Spirit,2010,8/10,Metal,Male,North America
39,Four Tet - There Is Love In You,2010,9/10,Electronic,Male,Europe
40,Dope Body - Natural History,2012,9/10,Hardcore,Male,North America
41,Iceage - Plowing Through the Field of Love,2014,9/10,Rock,Male,Europe
42,Melt Banana - Fetch,2013,9/10,Hardcore,Female,Asia
43,Clarence Clarity - No Now,2015,8/10,Pop,Male,Europe
44,Against All Logic - 2012-2017,2018,9/10,Electronic,Male,North America
45,Beach House - Teen Dream,2010,9/10,Pop,Female,North America
46,Freddie Gibbs and Madlib - Piñata,2014,9/10,Hip-hop,Male,North America
47,Kero Kero Bonito - Bonito Generation,2016,8/10,Pop,Female,Europe
48,Frank Ocean - Blonde,2016,8/10,Pop,Male,North America
49,Ghost - Meliora,2015,9/10,Rock,Male,Europe
50,Death Grips - The Powers That B,2015,9/10,Hip-hop,Male,North America
51,Car Seat Headrest - Teens of Denial,2016,8/10,Rock,Male,North America
52,Clipping - CLPPNG,2014,9/10,Hip-hop,Male,North America
53,Queens of the Stone Age - Like Clockwork,2013,9/10,Rock,Male,North America
54,Kanye West - The Life of Pablo,2016,8/10,Hip-hop,Male,North America
55,AJJ - Knife Man,2011,8/10,Rock,Male,North America
56,Altar of Plagues - Teethed Glory and Injury,2013,9/10,Metal,Male,Europe
57,Sun Kil Moon - Common as Light and Love Are Red Valleys of Blood,2017,9/10,Folk,Male,North America
58,Matana Roberts - COIN COIN Chapter 4: Memphis,2019,9/10,Jazz,Female,North America
59,Jack White - Boarding House Reach,2018,9/10,Rock,Male,North America
60,Kirin J Callinan - Bravado,2017,8/10,Pop,Male,Australia
61,Algiers - The Underside of Power,2017,8/10,Rock,Male,North America
62,Oneohtrix Point Never - Replica,2011,8/10,Electronic,Male,North America
63,Battles - Gloss Drop,2011,9/10,Rock,Male,North America
64,Grouper - AIA Dream Loss/Alien Observer,2011,?/10,Ambient,Female,North America
65,D'Angelo - Black Messiah,2014,8/10,Soul,Male,North America
66,King Gizzard and the Lizard Wizard - Nonagon Infinity,2016,8/10,Rock,Male,Australia
67,Killer Mike - RAP Music,2012,8/10,Hip-hop,Male,North America
68,Scott Walker - Bish Bosch,2012,7/10,Experimental,Male,North America
69,Liars - Mess,2014,8/10,Rock,Male,North America
70,The Knife - Shaking the Habitual,2013,9/10,Electronic,Male,Europe
71,Janelle Monae - The Archandroid,2010,9/10,Soul,Non-binary,North America
72,A Tribe Called Quest - We Got It From Here... Thank You 4 Your Service,2016,9/10,Hip-hop,Male,North America
73,Xiu Xiu - Plays the Music of Twin Peaks,2016,9/10,Experimental,Male,North America
74,Grave Babies - Crusher,2013,7/10,Rock,Male,North America
75,Perfume Genius - No Shape,2017,8/10,Pop,Male,North America
76,Little Simz - GREY Area,2019,9/10,Hip-hop,Female,Europe
77,Alex Cameron - Miami Memory,2019,8/10,Pop,Male,Australia
78,Rosalia - Los Angeles,2017,8/10,Folk,Male,Europe
79,Dorian Electra - Flamboyant,2019,8/10,Pop,Non-binary,North America
80,Otoboke Beaver - Itekoma Hits,2019,9/10,Rock,Female,Asia
81,Weyes Blood - Titanic Rising,2019,9/10,Pop,Female,North America
82,"Billie Eilish - When We All Fall Asleep, Where Do We Go?",2019,8/10,Pop,Female,North America
83,Sons of Kemet - Your Queen Is A Reptile,2018,8/10,Jazz,Male,Europe
84,Billy Woods - History Will Absolve Me,2012,8/10,Hip-hop,Male,North America
85,Destroyer - Kaputt,2011,9/10,Pop,Male,North America
86,MGMT - Little Dark Age,2018,8/10,Pop,Male,North America
87,Haru Nemuri - Haru To Shura,2018,8/10,Rock,Female,Asia
88,Travis Scott - Rodeo,2015,8/10,Hip-hop,Male,North America
89,Nicolas Jaar - Space Is Only Noise,2011,8/10,Electronic,Male,North America
90,Prurient - Frozen Niagara Falls,2015,8/10,Experimental,Male,North America
91,Perfume Genius - Put Your Back In 2 It,2012,9/10,Pop,Male,North America
92,YG - Still Brazy,2016,8/10,Hip-hop,Male,North America
93,Crying - Beyond the Fleeting Gales,2016,8/10,Rock,Female,North America
94,Radiohead - A Moon Shaped Pool,2016,8/10,Rock,Male,Europe
95,Krallice - Years Past Matter,2012,8/10,Metal,Male,North America
96,FKA Twigs - LP 1,2014,8/10,Pop,Female,Europe
97,Regina Spektor - Remember Us To Life,2016,8/10,Pop,Female,Europe
98,Run the Jewels - Run the Jewels 2,2014,8/10,Hip-hop,Male,North America
99,Bjork - Vulnicura,2015,8/10,Pop,Female,Europe
100,Daft Punk - Random Access Memories,2013,8/10,Electronic,Male,Europe
101,King Gizzard and The Lizard Wizard - Infest the Rats' Nest,2019,8/10,Metal,Male,Australia
102,Flying Lotus - You're Dead!,2014,8/10,Jazz,Male,North America
103,Open Mike Eagle - Brick Body Kids Still Daydream,2017,8/10,Hip-hop,Male,North America
104,"Slauson Malone - A Quiet Farwell, 2016-2018",2019,8/10,Experimental,Male,North America
105,Yazz Ahmed - Polyhymnia,2019,8/10,Jazz,Female,Europe
106,"Tim Hecker - Ravedeath, 1972",2011,8/10,Ambient,Male,North America
107,Mark Kozelek & Jimmy LaValle - Perils from the Sea,2013,?/10,Folk,Male,North America
108,U.S. Girls - In a Poem Unlimited,2018,8/10,Pop,Female,North America
109,Idles - Joy as an Act of Resistance,2018,9/10,Rock,Male,Europe
110,Denzel Curry - Taboo,2018,8/10,Hip-hop,Male,North America
111,Leviathan - Scar Sighted,2015,8/10,Metal,Male,North America
112,SOPHIE - Oil of Every Pearl's Un-Insides,2018,8/10,Pop,Female,Europe
113,Angel Olsen - My Woman,2016,8/10,Rock,Female,North America
114,Alan Vega - It,2017,?/10,Experimental,Male,North America
115,"Tyler, the Creator - Flower Boy",2017,8/10,Hip-hop,Male,North America
116,Uncommon Nasa - New York Telephone,2014,8/10,Hip-hop,Male,North America
117,slowthai - Nothing Great About Britain,2019,8/10,Hip-hop,Male,Europe
118,Touche Amore - Stage Four,2016,8/10,Hardcore,Male,North America
119,Kali Uchis - Isolation,2018,8/10,Soul,Female,North America
120,Dean Blunt - Black Metal,2014,8/10,Pop,Male,Europe
121,Oxbow - Thin Black Duke,2017,8/10,Rock,Male,North America
122,Africa Hitech - 93 Million Miles,2011,8/10,Electronic,Male,Europe
123,Thee Oh Sees - Orc,2017,8/10,Rock,Male,North America
124,Horrendous - Idol,2018,9/10,Metal,Male,North America
125,Mariam the Believer - Blood Donation,2013,8/10,Pop,Female,Europe
126,Earl Sweatshirt - Some Rap Songs,2018,8/10,Hip-hop,Male,North America
127,Beyoncé - Lemonade,2016,8/10,Pop,Female,North America
